,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,fg_percentage,made_three_point_field_goals,attempted_three_point_field_goals,three_point_percentage,made_free_throws,attempted_free_throws,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,ppg
0,Precious Achiuwa,[<Position.CENTER: 'CENTER'>],23,Team.TORONTO_RAPTORS,55,12,1140,196,404,0.485,29,108,0.269,87,124,0.702,100,228,50,31,30,59,102,508,9.2
1,Steven Adams,[<Position.CENTER: 'CENTER'>],29,Team.MEMPHIS_GRIZZLIES,42,42,1133,157,263,0.597,0,1,0.0,47,129,0.364,214,271,97,36,46,79,98,361,8.6
2,Bam Adebayo,[<Position.CENTER: 'CENTER'>],25,Team.MIAMI_HEAT,75,75,2598,602,1114,0.54,1,12,0.083,324,402,0.806,184,504,240,88,61,187,208,1529,20.4
3,Ochai Agbaji,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.UTAH_JAZZ,59,22,1209,165,386,0.427,81,228,0.355,56,69,0.812,43,78,67,16,15,41,99,467,7.9
4,Santi Aldama,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,Team.MEMPHIS_GRIZZLIES,77,20,1682,247,525,0.47,94,266,0.353,108,144,0.75,85,286,97,45,48,60,143,696,9.0
5,Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.UTAH_JAZZ,36,3,528,83,170,0.488,35,87,0.402,27,39,0.692,8,51,76,24,14,45,58,228,6.3
6,Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.MINNESOTA_TIMBERWOLVES,23,0,356,48,125,0.384,26,72,0.361,13,21,0.619,7,35,32,8,7,10,30,135,5.9
7,Grayson Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.MILWAUKEE_BUCKS,72,70,1972,245,557,0.44,146,366,0.399,114,126,0.905,61,176,163,62,14,72,117,750,10.4
8,Jarrett Allen,[<Position.CENTER: 'CENTER'>],24,Team.CLEVELAND_CAVALIERS,68,68,2220,403,626,0.644,1,10,0.1,162,221,0.733,221,445,113,54,84,93,153,969,14.2
9,Jose Alvarado,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.NEW_ORLEANS_PELICANS,61,10,1310,201,489,0.411,83,247,0.336,65,80,0.812,28,113,186,67,10,81,125,550,9.0
10,Kyle Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29,Team.MINNESOTA_TIMBERWOLVES,69,46,1957,252,495,0.509,43,105,0.41,100,136,0.735,66,302,335,78,63,103,146,647,9.4
11,Giannis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.MILWAUKEE_BUCKS,63,63,2024,707,1278,0.553,47,171,0.275,498,772,0.645,137,605,359,52,51,246,197,1959,31.1
12,Thanasis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.MILWAUKEE_BUCKS,37,0,206,20,46,0.435,0,8,0.0,11,22,0.5,15,29,15,3,3,12,22,51,1.4
13,Cole Anthony,[<Position.POINT_GUARD: 'POINT GUARD'>],22,Team.ORLANDO_MAGIC,60,4,1552,277,610,0.454,75,206,0.364,152,170,0.894,47,241,235,37,31,91,158,781,13.0
14,OG Anunoby,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.TORONTO_RAPTORS,67,67,2386,421,885,0.476,142,367,0.387,140,167,0.838,95,237,131,128,50,132,200,1124,16.8
15,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.NEW_YORK_KNICKS,11,0,26,1,5,0.2,1,3,0.333,0,0,,0,4,2,2,0,1,3,3,0.3
16,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.PORTLAND_TRAIL_BLAZERS,9,4,146,8,32,0.25,7,20,0.35,0,0,,0,11,21,3,0,6,14,23,2.6
17,Deni Avdija,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,Team.WASHINGTON_WIZARDS,76,40,2020,253,579,0.437,69,232,0.297,122,165,0.739,74,413,211,65,29,123,209,697,9.2
18,Deandre Ayton,[<Position.CENTER: 'CENTER'>],24,Team.PHOENIX_SUNS,67,67,2035,522,887,0.589,7,24,0.292,152,200,0.76,172,495,115,37,53,120,190,1203,18.0
19,Udoka Azubuike,[<Position.CENTER: 'CENTER'>],23,Team.UTAH_JAZZ,36,4,359,59,72,0.819,0,0,,7,20,0.35,31,88,11,6,15,18,34,125,3.5
20,Marvin Bagley III,[<Position.CENTER: 'CENTER'>],23,Team.DETROIT_PISTONS,42,25,990,202,382,0.529,19,66,0.288,81,108,0.75,94,175,36,19,30,46,81,504,12.0
21,Patrick Baldwin Jr.,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20,Team.GOLDEN_STATE_WARRIORS,31,0,226,43,109,0.394,32,84,0.381,4,6,0.667,1,39,11,6,4,11,14,122,3.9
22,LaMelo Ball,[<Position.POINT_GUARD: 'POINT GUARD'>],21,Team.CHARLOTTE_HORNETS,36,36,1268,296,721,0.411,144,383,0.376,102,122,0.836,42,189,304,46,11,129,118,838,23.3
23,Mo Bamba,[<Position.CENTER: 'CENTER'>],24,Team.ORLANDO_MAGIC,40,6,681,106,214,0.495,43,108,0.398,35,51,0.686,47,137,42,12,38,22,86,290,7.2
24,Mo Bamba,[<Position.CENTER: 'CENTER'>],24,Team.LOS_ANGELES_LAKERS,9,1,88,11,27,0.407,5,16,0.312,6,11,0.545,11,30,4,1,5,8,19,33,3.7
25,Paolo Banchero,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20,Team.ORLANDO_MAGIC,72,72,2430,479,1122,0.427,85,285,0.298,394,534,0.738,84,413,269,60,39,200,160,1437,20.0
26,Desmond Bane,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.MEMPHIS_GRIZZLIES,58,58,1841,450,939,0.479,166,407,0.408,181,205,0.883,43,248,254,56,22,126,150,1247,21.5
27,Dalano Banton,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.TORONTO_RAPTORS,31,2,279,55,130,0.423,15,51,0.294,17,24,0.708,11,34,36,13,13,18,34,142,4.6
28,Dominick Barlow,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.SAN_ANTONIO_SPURS,28,0,408,46,86,0.535,0,4,0.0,18,25,0.72,46,56,24,10,19,15,56,110,3.9
